nick_the_dusk_swan;the Dusk Swan;;;;;;;;;;;;
nick_the_redeemer;the Redeemer;;;;;;;;;;;;
nick_the_silken_vixen;the Silken Vixen;;;;;;;;;;;;
nick_the_lawmaker;the Lawmaker;;;;;;;;;;;;
nick_the_sage;the Sage;;;;;;;;;;;;
nick_the_first;the First;;;;;;;;;;;;
nick_the_grandfather;the Grandfather;;;;;;;;;;;;
nick_the_writer;the Writer;;;;;;;;;;;;
nick_the_giant;the Giant;;;;;;;;;;;;
nick_the_soldier;the Soldier;;;;;;;;;;;;
nick_the_serpent;the Serpent;;;;;;;;;;;;
nick_the_repentant;the Repentant;;;;;;;;;;;;
nick_the_unprepared;the Unprepared;;;;;;;;;;;;
