province;red;green;blue;x;x
1;128;73;124;regalia;x
2;104;123;147;de_paaj;x
3;105;149;177;oostmuur;x
4;112;130;165;lageland;x
5;114;138;172;hogeland;x
6;135;121;152;westbroek;x
7;110;127;176;skaarme;x
8;124;143;176;waddenzuid;x
9;124;147;179;passenaar;x
10;139;128;163;tonkheere;x
11;105;148;150;terschaik;x
12;114;129;144;vierenpoort;x
13;123;144;143;grootburg;x
14;107;139;143;de_pier;x
15;114;149;173;leerme;x
16;127;111;147;vierheere;x
17;100;133;172;schierkum;x
18;101;149;195;kooge;x
19;135;122;182;texellen;x
20;107;140;173;nordenoog;x
21;110;152;168;langeoog;x
22;143;158;134;brandwoud;x
23;152;165;115;frelmeer;x
24;159;169;109;flinmeer;x
25;126;150;136;erdam;x
26;124;153;119;gerveld;x
27;133;165;122;felmeer;x
28;149;163;134;galwoud;x
29;134;155;145;dordam;x
30;136;180;132;fisdam;x
31;158;178;131;doornmeer;x
32;135;177;116;doldermeer;x
33;155;127;170;dundarne;x
34;168;140;181;wickthur;x
35;170;104;182;glaick;x
36;174;134;159;norrackal;x
37;146;107;163;ben_alder;x
38;152;135;171;mull;x
39;155;115;165;kerrickwayle;x
40;159;141;150;ben_stropaidh;x
41;164;127;184;ballywydgown;x
42;141;108;171;ultaniss;x
43;154;112;164;atherdin;x
44;156;125;158;ben_hur;x
45;158;113;167;carnowyle;x
46;164;109;177;verness;x
47;173;126;173;hardowyle;x
48;163;130;143;valtyr;x
49;169;132;128;alstyr;x
50;189;152;120;machyntyr;x
51;194;136;120;ara;x
52;164;164;120;amlwch;x
53;170;145;113;caerwys;x
54;183;137;109;gaerwen;x
55;193;143;118;abertyr;x
56;194;147;140;alos;x
57;202;145;114;bodwyddan_plates;x
58;174;126;143;coltyr;x
59;177;162;138;sones;x
60;183;143;142;keval;x
61;188;144;143;gambess;x
62;190;132;145;twyntyr;x
63;126;94;148;armendhale;x
64;126;127;134;hourn;x
65;129;130;140;salen;x
66;133;113;131;melluvagh;x
67;146;91;153;gairnloch;x
68;158;110;161;strathynhide;x
69;122;98;159;scoraigloch;x
70;125;126;128;loch_anchan;x
71;131;124;145;loch_culnanoc;x
72;143;110;145;loch_dunhan;x
73;131;92;131;kearveigh;x
74;139;116;137;greshornish;x
75;147;112;130;irdhboll;x
76;157;90;147;dinwall;x
77;191;201;138;lorrach;x
78;193;184;169;bulgern;x
79;204;207;142;bad;x
80;200;210;142;gallenberg;x
81;213;191;171;reinach;x
82;197;180;136;schaffhausen;x
83;209;180;149;arau;x
84;213;206;151;fergh;x
85;217;198;143;mulhaus;x
86;169;161;169;elane;x
87;189;149;159;ferrano;x
88;189;151;183;ennas;x
89;171;168;180;montua;x
90;178;176;174;essire;x
91;191;161;187;meuverge;x
92;192;140;182;lavoyare;x
93;193;149;180;kreustur;x
94;198;168;188;milosso;x
95;171;148;188;aaker;x
96;193;174;162;shattel;x
97;196;178;153;lorhaus;x
98;193;179;201;urau;x
99;194;171;202;budelle;x
100;206;170;189;prester;x
101;217;198;188;nytra;x
102;192;184;206;irole;x
103;203;175;190;obermark;x
104;205;193;193;hinterkaernte;x
105;205;198;192;gorzen;x
106;196;176;194;preste;x
107;200;175;182;ivenna;x
108;210;172;178;mozaria;x
109;188;195;185;saalzen;x
110;195;177;199;praag;x
111;196;165;171;morveten;x
112;161;151;137;ettelbrueck;x
113;161;153;137;alxette;x
114;168;129;163;albarn;x
115;168;132;153;vanren;x
116;170;162;151;rigan;x
117;190;155;155;marner;x
118;167;156;133;dalmaaten;x
119;170;138;136;belfort;x
120;180;157;145;redang;x
121;188;153;140;remich;x
122;156;140;137;bruecke;x
123;157;138;163;nerieen;x
124;167;129;167;marais;x
125;174;148;151;tirgenwald;x
126;109;163;117;heiligturm;x
127;112;150;82;bauerland;x
128;120;153;89;molveria;x
129;121;173;104;dordovia;x
130;134;163;106;birkenbauerland;x
131;142;147;87;krumvalia;x
132;129;137;103;eibenwitz;x
133;131;141;109;folzern;x
134;131;166;114;gernegraab;x
135;142;153;117;odoretz;x
136;145;170;94;oedel;x
137;107;137;97;rundstede;x
138;126;171;109;overlungwitz;x
139;132;143;101;keimnitz;x
140;143;150;82;bautzder;x
141;119;167;121;erzberge;x
142;121;169;96;holy_hills;x
143;128;137;124;holgerne;x
144;135;146;117;erzfelde;x
145;138;134;100;ivormark;x
146;127;138;102;kallipolis;x
147;130;130;125;severinburg;x
148;134;159;122;krismea;x
149;137;141;113;holy_oratioland;x
150;138;146;99;hollifarland;x
151;151;138;117;neufoundland;x
152;121;155;113;bleiken_am_see;x
153;141;149;97;schutzerburgh;x
154;145;135;106;girtenwald_am_see;x
155;150;133;116;silmark;x
156;116;177;126;koningsberg;x
157;121;164;106;attliebel;x
158;138;150;102;zollergurg;x
159;144;163;106;haubtdorf;x
160;131;152;97;schlossland;x
161;138;173;125;brzerg;x
162;139;140;111;moritzberg;x
163;150;154;118;rotstein;x
164;150;174;96;chetznitz;x
165;152;176;97;neukirch;x
166;115;172;122;orienburg;x
167;130;152;93;riechstein;x
168;130;159;129;tenplinburg;x
169;140;158;93;thiendorf;x
170;152;151;113;vornfelde;x
171;160;129;113;salzenwald;x
172;170;143;130;schwerin;x
173;171;114;117;markenburgh;x
174;172;115;120;wilemms;x
175;175;132;136;sondburgh;x
176;167;144;143;drachenwald;x
177;184;118;146;olden;x
178;193;141;145;morvetenwald;x
179;202;211;135;calzeira;x
180;219;203;141;gradao;x
181;221;199;158;cavoeira;x
182;197;187;152;vila_franca;x
183;189;195;137;odivelas;x
184;199;223;144;loures;x
185;202;184;152;amadora;x
186;209;213;158;chleirios;x
187;184;217;147;savacem;x
188;190;222;128;sobradol;x
189;209;186;155;ribetej;x
190;212;210;157;alhandra;x
191;223;189;120;sintra;x
192;192;189;135;villa_real;x
193;193;194;133;vila_rainal;x
194;169;199;93;rio_sul;x
195;175;188;113;reguengos_de_murao;x
196;179;204;119;rio_grande;x
197;198;200;93;campelo;x
198;168;176;103;carrazeda;x
199;179;193;86;issa;x
200;186;173;125;frechas;x
201;190;199;90;montargil;x
202;204;198;120;sabrosa;x
203;207;177;111;lamengao;x
204;177;190;105;alijo;x
205;184;193;123;estremouz;x
206;186;210;100;arroncha;x
207;192;186;117;alpiarca;x
208;209;191;104;tarro_do_sal;x
209;211;191;111;evora;x
210;189;214;123;ximen;x
211;195;192;116;zirenez;x
212;200;206;120;alcavanza;x
213;202;187;115;xitra;x
214;189;207;114;almerim;x
215;209;201;120;coruche;x
216;221;196;111;mourinhao;x
217;222;192;126;benedita;x
218;184;107;171;la_rosa;x
219;184;133;166;teseje;x
220;208;136;157;tasartio;x
221;189;112;150;funchal;x
222;206;115;135;ferreira_an;x
223;217;112;150;cajarzes;x
224;189;128;142;mazzalora;x
225;190;103;174;azes;x
226;191;112;157;maspalomas;x
227;212;127;166;las_palmas;x
228;213;134;166;la_paradill;x
229;197;129;187;mezaal_isle;x
